"COUNTRY.UN_CODE","SPECIES.ALPHA_3_CODE","AREA.CODE","ENVIRONMENT.ALPHA_2_CODE","MEASURE","PERIOD","VALUE","STATUS"
"032","SXU","03","IN","V_USD_1000",2011,3.602,""
"032","FOK","03","IN","V_USD_1000",2011,321.035,""
"032","TRR","03","IN","V_USD_1000",2011,7968.78,""
"032","LPB","03","IN","V_USD_1000",2011,5.547,""
"032","OYG","41","MA","V_USD_1000",2011,233.569,""
"032","RMQ","03","IN","V_USD_1000",2011,6.033,""
"032","MSR","41","MA","V_USD_1000",2011,543.047,"E"
"032","TLP","03","IN","V_USD_1000",2011,136.657,""
"032","FCG","03","IN","V_USD_1000",2011,162.282,""
"032","PLL","03","IN","V_USD_1000",2011,5.398,""
"032","APB","03","IN","V_USD_1000",2011,21.897,"E"
"032","UPY","03","IN","V_USD_1000",2011,8.124,""
"032","CSO","03","IN","V_USD_1000",2011,5970.6,""
"032","FCY","03","IN","V_USD_1000",2011,403.869,""
"032","FOK","03","IN","V_USD_1000",2012,207.739,""
"032","MUS","41","MA","V_USD_1000",2012,206.307,""
"032","SXU","03","IN","V_USD_1000",2012,6.017,""
"032","APG","03","IN","V_USD_1000",2012,247.965,"E"
"032","TLP","03","IN","V_USD_1000",2012,149.407,""
"032","FCG","03","IN","V_USD_1000",2012,170.534,""
"032","LPB","03","IN","V_USD_1000",2012,6.811,""
"032","UPY","03","IN","V_USD_1000",2012,286.608,""
"032","TRR","03","IN","V_USD_1000",2012,8854.613,""
"032","PLL","03","IN","V_USD_1000",2012,9.555,""
"032","CSO","03","IN","V_USD_1000",2012,7413.045,""
"032","OYG","41","MA","V_USD_1000",2012,44.083,""
"032","RMQ","03","IN","V_USD_1000",2012,4.199,""
"032","MSR","41","MA","V_USD_1000",2012,51.577,""
"032","FCY","03","IN","V_USD_1000",2012,171.327,""
"032","APB","03","IN","V_USD_1000",2012,66.124,"E"
"032","TRR","41","MA","V_USD_1000",2012,35.266,""
"032","HUH","03","IN","V_USD_1000",2012,61.716,"E"
"032","FOK","03","IN","V_USD_1000",2013,476.247,""
"032","MUS","41","MA","V_USD_1000",2013,20.259,""
"032","LPB","03","IN","V_USD_1000",2013,12.034,""
"032","APG","03","IN","V_USD_1000",2013,142.141,""
"032","TLP","03","IN","V_USD_1000",2013,189.858,""
"032","RMQ","03","IN","V_USD_1000",2013,6.506,""
"032","MSR","41","MA","V_USD_1000",2013,32.605,""
"032","SXU","03","IN","V_USD_1000",2013,201.194,""
