Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,CPC_Group_En
13.924552999999996,1994,393.72978470927274,-0.489457069202518,0.6651401639387468,4.316680411869023,"Fish live, fresh or chilled for human consumption"
12.357454499999989,1994,6194.455896545069,-0.5052948062488957,-0.20411693815948537,4.572053526154028,"Molluscs live, fresh or chilled"
2.383330999999997,1994,12.5,-0.5566808845136456,-0.5901639344262295,4.116727547261109,Other aquatic plants and animals
47.73810999999998,1995,1138.4022010542865,1.3376328742760069,-0.11241037523296236,3.84462294408064,"Crustaceans, live, fresh or chilled"
28.56263000000002,1995,501.289452815226,1.0512421475935383,0.2731814363126594,4.090826296765539,"Fish live, fresh or chilled for human consumption"
30.859270000000098,1995,6886.34563253012,1.4972189863211753,0.11169499751720731,4.3414095848474075,"Molluscs live, fresh or chilled"
5.253197999999998,1995,25,1.2041411788794776,1,3.812120596118365,Other aquatic plants and animals
144.22523549999988,1996,844.2439057886425,2.021176068763494,-0.25839575414842036,4.270542106432746,"Crustaceans, live, fresh or chilled"
82.94089749999995,1996,356.7481703659268,1.9038256456075426,-0.2883389659159192,4.388113972212712,"Fish live, fresh or chilled for human consumption"
93.45240350000003,1996,5028.649716910587,2.02834135415385,-0.2697651286691219,4.468136095713641,"Molluscs live, fresh or chilled"
15.954631999999988,1996,21,2.0371274792992753,-0.16,4.255344192331071,Other aquatic plants and animals
133.22945250179998,1997,669.3363228699552,-0.07624035391643089,-0.20717660112132996,4.8747897639246665,"Crustaceans, live, fresh or chilled"
67.1826375009,1997,506.7701149425287,-0.1899938447024918,0.42052617795550323,5.054495511107735,"Fish live, fresh or chilled for human consumption"
82.4766975011,1997,5619.571428571428,-0.11744701674687369,0.11751101089297618,5.1434128965120305,"Molluscs live, fresh or chilled"
14.789250000199994,1997,18,-0.07304348980283562,-0.14285714285714285,4.8539230305180245,Other aquatic plants and animals
65.66619849999991,1998,1237.5059079179682,-0.5071195049824845,0.8488551504449016,4.354662480198678,"Crustaceans, live, fresh or chilled"
35.23110249999998,1998,608.9985489721886,-0.4755921498388955,0.20172545897118122,4.657135452054199,"Fish live, fresh or chilled for human consumption"
39.50520400000003,1998,5418.987649152187,-0.5210137505872728,-0.035693785899653975,4.847302048698592,"Molluscs live, fresh or chilled"
7.713154999999984,1998,80,-0.4784620585969079,3.4444444444444446,4.316390578772041,Other aquatic plants and animals
105.73527500000013,1999,1692.3154874149382,0.6101933325712489,0.3675211379492811,5.168552943489233,"Crustaceans, live, fresh or chilled"
57.088015000000084,1999,725.961747829925,0.6203868442663625,0.19205825540165256,5.329992062035647,"Fish live, fresh or chilled for human consumption"
