Average Microplastic,Year,zone,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,CPC_Group_En,Name_En
2.8499959999999995,1990,31,55,1.9271407956698796,-0.2948717948717949,2.7175647834210936,"Crustaceans, live, fresh or chilled",Penaeus shrimps nei
1.4249979999999998,1990,31,1206,1.9271407956698796,0.6037234042553191,2.717564783421093,"Crustaceans, live, fresh or chilled",Southern white shrimp
8.549987999999999,1990,31,1253.5,1.9271407956698803,0.676923076923077,2.7175647834210936,"Crustaceans, live, fresh or chilled",Whiteleg shrimp
2.8499959999999995,1990,31,0,1.927140795669883,0,2.717564783421095,"Fish live, fresh or chilled for human consumption",Cobia
1.4249979999999998,1990,31,0,1.9271407956698796,0,2.717564783421094,"Fish live, fresh or chilled for human consumption",Common snook
1.4249979999999998,1990,31,0,1.9271407956698807,0,2.7175647834210945,"Fish live, fresh or chilled for human consumption",Florida pompano
2.8499959999999995,1990,31,0,1.9271407956698796,-1,2.7175647834210945,"Fish live, fresh or chilled for human consumption",Marine fishes nei
1.4249979999999998,1990,31,0,1.9271407956698796,0,2.717564783421094,"Fish live, fresh or chilled for human consumption",Mojarras(=Silver-biddies) nei
2.8499959999999995,1990,31,2.5,1.9271407956698796,-0.16666666666666666,2.7175647834210936,"Fish live, fresh or chilled for human consumption",Red drum
1.4249979999999998,1990,31,0,1.9271407956698796,0,2.717564783421094,"Fish live, fresh or chilled for human consumption",Tilapias nei
2.849995999999999,1990,31,15917.5,1.9271407956698792,-0.5855195489994401,2.7175647834210936,"Molluscs live, fresh or chilled",American cupped oyster
2.849995999999999,1990,31,0,1.9271407956698852,0,2.717564783421098,"Molluscs live, fresh or chilled","Clams, etc. nei"
1.4249979999999998,1990,31,0,1.9271407956698796,0,2.717564783421094,"Molluscs live, fresh or chilled",Cupped oysters nei
1.4249979999999995,1990,31,5,1.9271407956698792,1.5,2.7175647834210923,"Molluscs live, fresh or chilled",Mangrove cupped oyster
1.4249979999999998,1990,31,5,1.9271407956698796,-0.5,2.717564783421093,"Molluscs live, fresh or chilled",Queen conch
1.4249979999999998,1990,31,12,1.9271407956698796,0.2,2.717564783421093,"Molluscs live, fresh or chilled",South American rock mussel
1.4249979999999998,1990,31,10,1.9271407956698796,0,2.717564783421093,"Molluscs live, fresh or chilled",Stromboid conchs nei
1.4249979999999998,1990,31,101,0,0,2.717564783421093,Other aquatic plants and animals,Elkhorn sea moss
1.4249979999999998,1990,31,40,1.9271407956698796,0,2.717564783421093,Other aquatic plants and animals,Gracilaria seaweeds
0.21209349999999993,1991,21,0,9.850437407274768,0,7.961631311375171,"Crustaceans, live, fresh or chilled",Blue crab
0.2120935,1991,21,0,9.850437407274773,0,7.961631311375172,"Fish live, fresh or chilled for human consumption",Atlantic bluefin tuna
0.2120935,1991,21,0,9.850437407274772,-1,7.961631311375172,"Fish live, fresh or chilled for human consumption",Atlantic cod
0.6362804999999998,1991,21,8785.666666666666,9.850437407274773,0.39787854680456103,7.961631311375167,"Fish live, fresh or chilled for human consumption",Atlantic salmon
0.2120935,1991,21,1418,9.850437407274773,-0.4744255003706449,7.961631311375171,"Molluscs live, fresh or chilled",American cupped oyster
0.4241870000000001,1991,21,2167,9.850437407274777,-0.1290192926045016,7.961631311375171,"Molluscs live, fresh or chilled",Blue mussel
0.21209349999999993,1991,21,473,9.85043740727477,0,7.961631311375171,"Molluscs live, fresh or chilled",Butter clam
0.42418700000000015,1991,21,0,9.850437407274775,0,7.961631311375166,"Molluscs live, fresh or chilled",Marine molluscs nei
0.2120935,1991,21,5713,9.850437407274773,-0.1461664923030937,7.961631311375171,"Molluscs live, fresh or chilled",Northern quahog(=Hard clam)
0.21209349999999993,1991,21,33,9.850437407274768,32,7.961631311375171,"Molluscs live, fresh or chilled",Sand gaper
0.42418700000000015,1991,21,2,9.850437407274777,-0.981651376146789,7.961631311375168,"Molluscs live, fresh or chilled",Scallops nei
1.7243604999999966,1991,31,0,0.21007924221647814,0,3.5205004043066004,"Crustaceans, live, fresh or chilled",Blue shrimp
1.7243604999999977,1991,31,0,0.21007924221648006,0,3.520500404306598,"Crustaceans, live, fresh or chilled",Brine shrimp
1.7243604999999977,1991,31,0,0.21007924221647892,0,3.5205004043065986,"Crustaceans, live, fresh or chilled",Callinectes swimcrabs nei
