Latitude,Longitude,Average of MicroPlastic,Sample_Date
20.22,-70.48,0.00054,1990-04-25 00:00:00
25.58,-74.8,0.0043195,1990-04-25 00:00:00
21.32,-70.17,0.0024245,1990-04-26 00:00:00
26.14,-74.87,0.014579,1990-04-26 00:00:00
26.58,-75.04,0.0045,1990-04-26 00:00:00
22.2,-70.72,0,1990-04-27 00:00:00
22.73,-70.82,0.011879,1990-04-27 00:00:00
23,-70.92,0.0048595,1990-04-27 00:00:00
26.14,-74.87,0.017279,1990-04-27 00:00:00
27.4,-74.08,0,1990-04-27 00:00:00
23.73,-70.65,0.0232185,1990-04-28 00:00:00
24.65,-70.25,0.013499,1990-04-28 00:00:00
24.65,-70.25,0.007559,1990-04-29 00:00:00
25.25,-69.42,0.00243,1990-04-29 00:00:00
28.45,-71.93,0,1990-04-29 00:00:00
28.74,-71.72,0.016199,1990-04-29 00:00:00
29.14,-71.19,0,1990-04-29 00:00:00
26.45,-68.92,0.00351,1990-04-30 00:00:00
27.15,-68.9,0.0048595,1990-05-01 00:00:00
27.52,-68.88,0.0027,1990-05-01 00:00:00
28.58,-67.93,0.0267855,1990-05-02 00:00:00
29.2,-67.2,0.051836,1990-05-02 00:00:00
30.5,-69.13,0.007019,1990-05-02 00:00:00
31.16,-67.29,0.198704,1990-05-02 00:00:00
29.28,-67.2,0.020518,1990-05-03 00:00:00
30.28,-66.42,0.010799,1990-05-03 00:00:00
30.28,-66.4,0.00162,1990-05-03 00:00:00
31.72,-65.07,0.006479,1990-05-03 00:00:00
30.67,-66.1,0.00162,1990-05-04 00:00:00
39.32,-70.27,0.00162,1990-05-13 00:00:00
41.35,-69.02,0,1990-05-25 00:00:00
44.55,-62.69,0,1990-08-16 00:00:00
42.71,-65.39,0,1990-08-17 00:00:00
42.9,-64.04,0.00027,1990-08-17 00:00:00
42.74,-70.31,0,1990-08-22 00:00:00
41.3,-68.74,0.00027,1990-08-23 00:00:00
39.28,-68.57,0.00054,1990-10-12 00:00:00
39.28,-68.57,0.00108,1990-10-13 00:00:00
40.18,-64.8,0.001728,1990-10-15 00:00:00
39.03,-62.98,0.00054,1990-10-16 00:00:00
39,-63.12,0.00054,1990-10-17 00:00:00
37.27,-51.32,0.00432,1990-10-24 00:00:00
37.27,-51.32,0.008639,1990-10-25 00:00:00
18.47,-64.45,0.006479,1991-01-15 00:00:00
17.52,-64.6,0.00216,1991-02-16 00:00:00
16.63,-63.63,0.00054,1991-02-17 00:00:00
15.68,-62.83,0.00054,1991-02-18 00:00:00
14.17,-62.08,0.00054,1991-02-19 00:00:00
13.28,-61.38,0.00054,1991-02-20 00:00:00
16.75,-74.58,0.0043194999999999996,1991-03-10 00:00:00
17.2,-75.4,0.00054,1991-03-11 00:00:00
17.35,-77.3,0.00108,1991-03-13 00:00:00
17.57,-77.97,0.00162,1991-03-13 00:00:00
17.58,-77.97,0.00108,1991-03-13 00:00:00
17.88,-78.57,0.00162,1991-03-14 00:00:00
19.03,-79.65,0,1991-03-15 00:00:00
20.02,-80.17,0.000771,1991-03-18 00:00:00
20.95,-83.48,0.0018900000000000002,1991-03-21 00:00:00
23.47,-83.2,0,1991-03-23 00:00:00
25.9,-77.65,0.00378,1991-04-18 00:00:00
25.98,-78.57,0,1991-04-18 00:00:00
25.75,-76.77,0,1991-04-19 00:00:00
25.95,-76.3,0,1991-04-19 00:00:00
26.42,-78.7,0.00162,1991-04-19 00:00:00
25.65,-76.72,0,1991-04-20 00:00:00
25.87,-79.97,0,1991-04-20 00:00:00
25.97,-72.22,0.0027,1991-04-21 00:00:00
26.2,-72.85,0.072874,1991-04-21 00:00:00
25.98,-70.88,0.008639,1991-04-22 00:00:00
24.55,-76.1,0,1991-04-23 00:00:00
25.98,-70.23,0.0054,1991-04-23 00:00:00
24.55,-76.1,0.004153,1991-04-24 00:00:00
26.35,-68.22,0.006944,1991-04-24 00:00:00
24.46,-76.27,0.0018900000000000002,1991-04-25 00:00:00
24.75,-75.87,0.00135,1991-04-25 00:00:00
24.62,-69.42,0.00216,1991-04-26 00:00:00
25.18,-75.5,0.0059395,1991-04-26 00:00:00
25.58,-75,0.0077615,1991-04-26 00:00:00
23.2,-69.8,0.00324,1991-04-27 00:00:00
26.28,-74.82,0.0054575000000000005,1991-04-27 00:00:00
26.85,-74.42,0.0099265,1991-04-28 00:00:00
27.9,-74.37,0.0280775,1991-04-29 00:00:00
28.48,-73.48,0.003858,1991-04-29 00:00:00
28.48,-73.48,0,1991-04-30 00:00:00
29.44,-71.97,0.031317,1991-04-30 00:00:00
29.44,-71.97,0.0027,1991-05-01 00:00:00
29.83,-70.88,0.0125585,1991-05-01 00:00:00
30.12,-70.5,0.023128000000000003,1991-05-02 00:00:00
30.97,-69.62,0.00405,1991-05-03 00:00:00
31,-68.78,0.011879,1991-05-03 00:00:00
31.32,-67.87,0.011609000000000001,1991-05-04 00:00:00
31.43,-67.13,0.00863,1991-05-04 00:00:00
32.08,-65.2,0.0127575,1991-05-05 00:00:00
21.62,-69.95,0,1991-05-06 00:00:00
22.4,-70.17,0.00108,1991-05-06 00:00:00
23.85,-70.35,0,1991-05-07 00:00:00
24.6,-70.28,0.006,1991-05-08 00:00:00
26.3,-70.47,0.0054,1991-05-09 00:00:00
27.3,-70.5,0.00324,1991-05-09 00:00:00
33.73,-64.85,0.0075595,1991-05-10 00:00:00
34.95,-64.75,0.00162,1991-05-10 00:00:00
28.82,-70.45,0.016199,1991-05-11 00:00:00
29.38,-68.43,0.027538,1991-05-11 00:00:00
34.95,-64.75,0.0018,1991-05-11 00:00:00
29.4,-67.57,0.060909,1991-05-12 00:00:00
29.7,-66.8,0.015659,1991-05-13 00:00:00
34.45,-65.72,0.00927,1991-05-13 00:00:00
39.31,-66.02,0.0043195,1991-05-13 00:00:00
30.6,-65.85,0.021592,1991-05-14 00:00:00
31.23,-65.32,0.005,1991-05-15 00:00:00
31.68,-64.67,0.005,1991-05-15 00:00:00
43.77,-63.98,0.00027,1991-05-21 00:00:00
40.41,-70.64,0.002602,1991-06-10 00:00:00
41.08,-70.9,0.00216,1991-06-10 00:00:00
41.18,-68.37,0.002347,1991-06-16 00:00:00
41.83,-69.3,0,1991-06-17 00:00:00
41.99,-70.36,0.00162,1991-06-17 00:00:00
41.01,-70.59,0.00054,1991-06-25 00:00:00
41.6,-69.21,0.00081,1991-06-26 00:00:00
42.66,-70.42,0,1991-06-27 00:00:00
42.66,-70.42,0,1991-06-28 00:00:00
41.91,-69.5,0.00054,1991-07-02 00:00:00
40.77,-68.69,0.00054,1991-07-03 00:00:00
41.03,-70.81,0,1991-07-04 00:00:00
43.76,-63.03,0.00108,1991-08-14 00:00:00
43.8,-63.32,0,1991-08-14 00:00:00
42.68,-62.55,0.0027,1991-08-15 00:00:00
42.13,-62.23,0.00162,1991-08-16 00:00:00
42.53,-62.88,0,1991-08-17 00:00:00
43.32,-62.33,0.00108,1991-08-21 00:00:00
40.98,-70.62,0,1991-10-11 00:00:00
40.18,-70.2,0.00054,1991-10-12 00:00:00
38.18,-68.52,0.024568,1991-10-13 00:00:00
38.82,-69.28,0.0030135,1991-10-13 00:00:00
40.47,-68.38,0.0003,1991-10-13 00:00:00
37.18,-66.13,0.06371500000000001,1991-10-14 00:00:00
37.47,-66.97,0.00243,1991-10-14 00:00:00
39.57,-66.27,0.0005484999999999999,1991-10-14 00:00:00
36.23,-64.02,0.0175485,1991-10-15 00:00:00
36.87,-65.08,0.012419,1991-10-15 00:00:00
39.29,-65.69,0.0003,1991-10-15 00:00:00
35.95,-63.82,0.012149,1991-10-16 00:00:00
38.43,-64.51,0.002947,1991-10-16 00:00:00
35.17,-58.58,0.0197085,1991-10-18 00:00:00
35.88,-58.98,0.018089,1991-10-18 00:00:00
37.45,-57.42,0.0036645000000000002,1991-10-18 00:00:00
37.9,-58.8,0.000365,1991-10-18 00:00:00
35.88,-58.03,0.0075595,1991-10-19 00:00:00
29.42,-57.48,0.0151185,1991-10-20 00:00:00
29.97,-57.38,0.015929,1991-10-20 00:00:00
31.27,-57.37,0.0140385,1991-10-20 00:00:00
31.87,-57,0.0097865,1991-10-20 00:00:00
31.9,-57.12,0.0057265,1991-10-20 00:00:00
28.78,-57.3,0.0224085,1991-10-21 00:00:00
31.18,-56.85,0.015287,1991-10-21 00:00:00
24.07,-58.13,0.0027,1991-10-23 00:00:00
24.8,-57.9,0.00243,1991-10-23 00:00:00
26.1,-57.6,0.0051295,1991-10-23 00:00:00
22.98,-58.13,0.00108,1991-10-24 00:00:00
21.52,-58.9,0,1991-10-25 00:00:00
22.05,-58.63,0,1991-10-25 00:00:00
