Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,zone
0,2008,8996.634176470588,0,0.31085905648820794,24.4409258713346,77
,2009,,-1,-1,,21
,2009,,-1,-1,,31
0,2009,8659,0,0.042723184133782184,41.95092648723341,67
0,2009,9383.052260869565,0,0.04295140569454268,23.795490291447173,77
0,2010,8078.869565217391,0,-0.06699739401577653,41.9509264872334,67
0,2010,5918.1106222222215,0,-0.3692766002271241,24.71967345764229,77
0,2011,9089.869565217392,0,0.12514127030256075,41.950926487233424,67
0,2011,6730.384568181818,0,0.13725224109693845,24.293393327669587,77
0.38058100000000006,2012,9037.869565217392,0,-0.005720654144365203,39.90226014739029,67
1984.443216000004,2012,5901.801208333334,0,-0.12311084923224856,23.407732694240174,77
1.0979999999999994,2013,9808.444444444445,0,0,13.06523799556413,21
