Average Microplastic,Cancer cases,Fish BalanaceSheet.Country (Name),Year,Consumption
352.48656000000045,8842809.926026369,Belize,2007,339648990.88000005
74.34585599999997,4134402.612342335,Belize,2008,190287681.32
233.2800000000001,802675.7626815359,Belize,2013,3425065.1399999997
1395.6480000000013,15616127.835135646,Belize,2014,149615548.32000005
213.11999999999995,2145322.6637947196,Belize,2015,25868375.999999993
99.74399999999997,2238299.12182464,Belize,2016,25244491.999999985
8.495999999999988,311056.5458799365,Bosnia and Herzegovina,2014,485681.76000000007
0.19200000000000014,26285.44807603197,Bosnia and Herzegovina,2015,39337.72
2.9759999999999915,78824.66196326399,Bosnia and Herzegovina,2016,126556.5
3413.2005503999976,26219.679473567972,Bosnia and Herzegovina,2017,38558.26
1.9200000000000002,68181.33422904,Brazil,2013,10379428.250000002
16.08,966487.2683793602,Brazil,2014,149117345.2999998
37.440000000000005,1340299.3846075195,Brazil,2015,180126756.3999999
9177.3844081056,810954.3837130562,Brazil,2017,106065997.02000001
2.831999999999992,116675.71557465571,Bulgaria,2014,371334.96000000025
0.09600000000000007,14406.168842975987,Bulgaria,2015,53085.82
1.4879999999999989,43412.709202272075,Bulgaria,2016,163750.28999999998
1706.6002751999988,14486.511878544008,Bulgaria,2017,53379.729999999996
241.92,876958.323542016,Cambodia,2014,93224007.68000004
3.8880000000000003,309646.25145504007,Cambodia,2015,32690911.5
58.752,1057340.2366762562,Cambodia,2016,119367982.16999993
10.320816,2343322.483493376,Canada,1990,133435338.95999995
111.98536800000015,6417231.096551614,Canada,1991,354080347.0599996
147.5612160000003,16908146.632436365,Canada,1992,874144220.4000026
41.55095999999996,7477536.264812579,Canada,1993,374677054.8399998
86.19415199999985,10529600.64843456,Canada,1994,527617450.79999983
242.52518399999974,11887577.011021981,Canada,1995,546234787.3399998
334.5130800000002,9865488.889900427,Canada,1996,452466952.30000013
66.63491999999997,10288302.769052785,Canada,1997,487055944.97999996
55.11316800000004,19484329.909454733,Canada,1998,959190451.1199998
131.15784000000033,14130507.329852091,Canada,1999,737967387.96
51.80471999999977,13635030.985154543,Canada,2000,718781376.06
156.37432800000013,15390106.496219106,Canada,2001,837070305.7200003
290.3992800000005,21510791.518534612,Canada,2002,1137074846.3999999
205.33651199999963,13256997.112077884,Canada,2003,696304244.16
408.2295360192014,10201508.578570515,Canada,2004,539464890.2800002
223.89523199999988,15919871.379320571,Canada,2005,771224455.6799998
44.399231999999934,15224002.342127698,Canada,2006,739078831.4
139.00320000000016,13736795.823178634,Canada,2007,666258121.2200001
22.94635200000001,15508330.922606915,Canada,2008,692834430.6
0,368310.20036735974,Canada,2009,18023523.799999997
0,367785.98974943877,Canada,2010,16698342.600000005
0,546189.2531956757,Canada,2011,27428577.29999994
7.942560000000106,1474053.353544998,Canada,2012,67741791.19999997
47.664000000000044,3175225.095190129,Canada,2013,154109206.18
300.672,10209956.706246044,Canada,2014,476465662.66999996
607.3439999999994,16129941.29143489,Canada,2015,707995167.5999999
214.75199999999984,6286018.148248688,Canada,2016,285498691.5200001
3.0844799999999992,9823779.740739359,Chile,2001,2887937744.4499993
13.872000000000002,553812.094165104,Chile,2013,77171383.38000003
27.744000000000007,2250540.442446335,Chile,2015,316045137.4800002
33.744000000000014,3810377.856431518,Chile,2016,433329937.1999959
8.448,1619809.5958479359,Chile,2017,270153204.47999865
19.220736000000002,305728.85278156796,China,2002,1162319732.8000038
2051.1360000000022,6800709.129644551,China,2014,32974755250.559994
0.8640000000000001,115804.61014032028,China,2015,567037682.9
151.29599999999976,19610056.62416589,China,2016,95925268471.76007
0,4501355.112105985,China,2017,22199424549.119995
136.79980799999998,3571146.0061468813,Colombia,1990,36671932.77999999
248.30791200000013,15104878.55262142,Colombia,1991,89982657.60000001
419.2269840000014,22489721.54991447,Colombia,1992,205359433.56
387.0797040000016,20290074.2500559,Colombia,1993,234467749.94999996
171.59983200000008,18140050.366452023,Colombia,1994,164100872.13
378.23025600000085,21504273.497047473,Colombia,1995,316721586.24
